,用户码,用户名称,景区码,景区名称
1074,4378,行者Terry,246,韩湘水博园
1076,4378,行者Terry,150,黄浦江
1079,6494,爱旅游用户52,142,古猗园
1083,4565,开心菜菜仙游...,84,外滩
1084,4565,开心菜菜仙游...,150,黄浦江
1086,5611,斑马噗噗,104,南京路步行街
1088,5611,斑马噗噗,84,外滩
1089,4264,爱旅游用户53,89,田子坊
1090,4264,爱旅游用户53,88,东方明珠
1091,4264,爱旅游用户53,135,陆家嘴
1092,4264,爱旅游用户53,285,北京东路
1093,4264,爱旅游用户53,84,外滩
1095,4264,爱旅游用户53,152,思南公馆
1098,712,飘尘Marco,150,黄浦江
1100,7090,爱旅游用户54,99,豫园
1101,7090,爱旅游用户54,104,南京路步行街
1102,7090,爱旅游用户54,84,外滩
1103,7090,爱旅游用户54,123,中华艺术宫
1104,7090,爱旅游用户54,174,金茂大厦
1105,7090,爱旅游用户54,89,田子坊
1106,4199,zqyi1767,78,上海迪士尼度假区
1108,1208,爱旅游用户55,150,黄浦江
1109,1208,爱旅游用户55,104,南京路步行街
1110,1208,爱旅游用户55,84,外滩
1111,1208,爱旅游用户55,170,城隍庙旅游区
1113,1208,爱旅游用户55,99,豫园
1114,1208,爱旅游用户55,89,田子坊
1115,4002,罗拉小胖,137,外白渡桥
1116,4002,罗拉小胖,150,黄浦江
1117,4002,罗拉小胖,136,上海老街
1120,4002,罗拉小胖,154,淮海路
1124,6439,MORI小妹砸,331,磁器口古镇
1125,6439,MORI小妹砸,347,朝天门广场
1127,5907,万丶,327,李子坝轻轨站
1128,5907,万丶,331,磁器口古镇
1129,5907,万丶,358,渣滓洞
1130,5633,Echo_Ma1993,431,重庆大学
1131,5633,Echo_Ma1993,375,中山四路
1132,5633,Echo_Ma1993,342,酉阳桃花源
1134,5633,Echo_Ma1993,420,汉海海洋公园
1137,6350,Bechon,343,南山一棵树观景台
1138,6350,Bechon,364,重庆好吃街
1140,2564,Lvpingjy,454,重庆国泰艺术中心
1143,2247,猪小妹YY,364,重庆好吃街
1149,1637,一蕊Aries,329,长江索道
1150,1637,一蕊Aries,428,罗汉寺
1152,1637,一蕊Aries,355,湖广会馆
1159,6354,ajpprincess,323,解放碑步行街
1160,6354,ajpprincess,347,朝天门广场
1165,5727,潘神D,329,长江索道
1166,5727,潘神D,3624,魁星楼
1169,3827,hj-999,342,酉阳桃花源
1172,3719,MOKAER,481,重庆图书馆
1173,3719,MOKAER,348,三峡博物馆
1174,3719,MOKAER,419,重庆白象街
1175,3719,MOKAER,3624,魁星楼
1177,3719,MOKAER,331,磁器口古镇
1180,2410,竹风梅骨,331,磁器口古镇
1182,2410,竹风梅骨,322,观音桥步行街
1184,6790,一蟹君,341,山城步道
1185,6790,一蟹君,390,南山风景区
1190,899,in老板殷倩,323,解放碑步行街
1192,2710,爱旅游的鑫仔,331,磁器口古镇
1194,2710,爱旅游的鑫仔,10107,嘉陵江
1195,2710,爱旅游的鑫仔,369,重庆动物园
1197,2710,爱旅游的鑫仔,434,四川外国语大学
1201,1464,琼子樣,374,皇冠大扶梯
1202,1464,琼子樣,341,山城步道
1203,755,重庆茹果,374,皇冠大扶梯
1204,755,重庆茹果,323,解放碑步行街
1206,6300,绿日光,370,乌江画廊
1207,6300,绿日光,342,酉阳桃花源
1208,1725,林琛Live,323,解放碑步行街
1209,1725,林琛Live,376,南滨路
1210,1725,林琛Live,10107,嘉陵江
1211,1725,林琛Live,454,重庆国泰艺术中心
1212,1725,林琛Live,357,二厂文创公园
1213,1725,林琛Live,331,磁器口古镇
1215,64,熊胖la,323,解放碑步行街
1216,64,熊胖la,331,磁器口古镇
1218,114,吴福秋,347,朝天门广场
1219,114,吴福秋,397,长嘉汇弹子石老街
1220,114,吴福秋,4483,东岳庙
1221,114,吴福秋,357,二厂文创公园
1224,1772,无尾象和猫,342,酉阳桃花源
1225,1772,无尾象和猫,370,乌江画廊
1226,3403,rainbow4417,366,鹅岭公园
1227,3403,rainbow4417,428,罗汉寺
1228,3403,rainbow4417,323,解放碑步行街
1229,3403,rainbow4417,374,皇冠大扶梯
1231,3403,rainbow4417,425,人民大礼堂
1233,1803,贝小贤,379,下浩老街
1234,1803,贝小贤,376,南滨路
1235,1803,贝小贤,367,东水门大桥
1237,1803,贝小贤,347,朝天门广场
1238,1803,贝小贤,354,涂鸦一条街
1242,2713,爱旅游用户56,331,磁器口古镇
1245,2614,彩虹糖旅行记,400,十八梯
1247,2614,彩虹糖旅行记,323,解放碑步行街
1251,5395,摄影师花生,323,解放碑步行街
1252,5395,摄影师花生,331,磁器口古镇
1253,5395,摄影师花生,341,山城步道
1256,6916,KiKiWiWi看世...,329,长江索道
1257,6916,KiKiWiWi看世...,10107,嘉陵江
1260,6916,KiKiWiWi看世...,368,千厮门大桥
1261,6916,KiKiWiWi看世...,8238,观景平台
1263,5741,若小麦,347,朝天门广场
1264,5741,若小麦,357,二厂文创公园
1265,5741,若小麦,331,磁器口古镇
1266,5741,若小麦,366,鹅岭公园
1267,5741,若小麦,374,皇冠大扶梯
1268,1822,大菊在路上,379,下浩老街
1269,1822,大菊在路上,400,十八梯
1272,1822,大菊在路上,323,解放碑步行街
1273,1822,大菊在路上,390,南山风景区
1275,3024,大大大猛,347,朝天门广场
1277,3024,大大大猛,327,李子坝轻轨站
1278,3024,大大大猛,357,二厂文创公园
1282,4674,阿雪的旅行日...,323,解放碑步行街
1283,1348,1024小虎牙,8211,长江三峡
1284,1348,1024小虎牙,347,朝天门广场
1286,5573,海魅,403,白公馆
1288,5573,海魅,358,渣滓洞
1289,5573,海魅,354,涂鸦一条街
1290,5573,海魅,347,朝天门广场
1291,5573,海魅,368,千厮门大桥
1294,358,JX小星星,411,铁山坪森林公园
1300,7042,东西南北我在...,403,白公馆
1301,7042,东西南北我在...,331,磁器口古镇
1302,7042,东西南北我在...,378,龙水峡地缝
1303,7042,东西南北我在...,336,大足石刻
1305,6544,Asterion,329,长江索道
1306,6544,Asterion,323,解放碑步行街
1307,6544,Asterion,331,磁器口古镇
1309,6544,Asterion,322,观音桥步行街
1316,1483,qunar用户,357,二厂文创公园
1320,1872,鲸鱼lavita,323,解放碑步行街
1322,1872,鲸鱼lavita,390,南山风景区
1325,4973,卷卷酱儿,347,朝天门广场
1326,4973,卷卷酱儿,433,朝天门码头
1327,4973,卷卷酱儿,364,重庆好吃街
1328,4973,卷卷酱儿,323,解放碑步行街
1330,5887,150斤少女,405,周公馆
1331,5887,150斤少女,375,中山四路
1334,5887,150斤少女,428,罗汉寺
1336,4928,pkyj3680,450,宁厂古镇
1339,4928,pkyj3680,404,巫山小三峡
1342,154,Highplay,343,南山一棵树观景台
1345,6450,爱旅游用户57,323,解放碑步行街
1347,6450,爱旅游用户57,331,磁器口古镇
1348,2514,Oneone,419,重庆白象街
1350,2514,Oneone,379,下浩老街
1351,2514,Oneone,341,山城步道
1356,3970,自娱自乐的大...,347,朝天门广场
1357,6606,爱旅游用户58,454,重庆国泰艺术中心
1359,6606,爱旅游用户58,343,南山一棵树观景台
1362,6706,眠眠冰,323,解放碑步行街
1363,6706,眠眠冰,354,涂鸦一条街
1365,6706,眠眠冰,376,南滨路
1370,3926,苏沐橙,357,二厂文创公园
1373,3926,苏沐橙,368,千厮门大桥
1374,4573,微笑向暖儿,400,十八梯
1376,4573,微笑向暖儿,358,渣滓洞
1377,4573,微笑向暖儿,323,解放碑步行街
1378,4573,微笑向暖儿,331,磁器口古镇
1379,4573,微笑向暖儿,403,白公馆
1380,4573,微笑向暖儿,347,朝天门广场
1381,6706,眠眠冰,354,涂鸦一条街
1385,5395,摄影师花生,323,解放碑步行街
1390,3513,Dandy_66,364,重庆好吃街
1392,3513,Dandy_66,341,山城步道
1394,3513,Dandy_66,331,磁器口古镇
1395,1289,fanqingyang,323,解放碑步行街
1396,1289,fanqingyang,331,磁器口古镇
1397,1289,fanqingyang,403,白公馆
1398,1289,fanqingyang,347,朝天门广场
1401,6622,dinh0358,323,解放碑步行街
1402,6622,dinh0358,364,重庆好吃街
1405,6622,dinh0358,400,十八梯
